X,Y,fid,objectid,cam_num,notes,location,proj,xcoord,ycoord,created_us,created_da,last_edite,last_edi_1
-8530247.4927,4757345.93230001,137,137,314, ,Woodview Rd - Round Rd,BPD Cameras,-76.628517,39.248612, , , , 
-8530505.086,4757315.17030001,138,138,312, ,Sethlow Rd - Slater Rd,BPD Cameras,-76.630831,39.24839799, , , , 
-8530385.4942,4757280.00330001,139,139,315, ,Rear of Comm Ctr.,BPD Cameras,-76.62975668,39.24815335, , , , 
-8530421.5123,4757136.4396,140,140,316, ,Behind Community Center 1039,BPD Cameras,-76.63008024,39.24715462, , , , 
-8530279.2188,4757121.2569,141,141,317, ,Spelman Rd - Claflin Ct,BPD Cameras,-76.628802,39.247049, , , , 
-8530236.1003,4756950.85650001,142,142,319, ,Spelman Rd - S Denham Cir,BPD Cameras,-76.62841466,39.24586355, , , , 
-8530156.3588,4757029.5618,143,143,318, ,2822 Round Rd.,BPD Cameras,-76.62769833,39.24641109, , , , 
-8530250.8322,4756770.38230001,144,144,322, ,2824 N Denham Cir,BPD Cameras,-76.62854699,39.244608, , , , 
-8530278.3032,4756757.03660001,145,145,321, ,Rear of 2822 Denham,BPD Cameras,-76.62879377,39.24451515, , , , 
-8530187.6836,4756808.09410001,146,146,323, ,Off 2820 Spellman,BPD Cameras,-76.62797972,39.24487036, , , , 
-8530136.031,4756849.818,147,147,324, ,Bridgeview Rd - Spelman Rd,BPD Cameras,-76.62751572,39.24516063, , , , 
-8529950.6036,4756814.3667,148,148,327, ,3301 Round Rd.,BPD Cameras,-76.62584999,39.24491399, , , , 
-8530023.7643,4756725.34280001,149,149,326, ,Side of 2901 Denham Cir.,BPD Cameras,-76.62650721,39.24429465, , , , 
-8529974.9826,4756628.08100002,150,150,333, ,Bethune Rd - Spelman Rd,BPD Cameras,-76.626069,39.24361799, , , , 
-8530779.3499,4757639.26750001,151,151,301, ,Behind 2708 Berea Rd.,BPD Cameras,-76.63329475,39.25065259, , , , 
-8530719.376,4757584.55650001,152,152,304, ,Behind 2711 Berea Rd.,BPD Cameras,-76.63275599,39.25027199, , , , 
-8530508.3608,4757292.39440001,153,153,352, ,Maint. Backyard 1,BPD Cameras,-76.63086041,39.24823955, , , , 
-8530486.5644,4757259.25180001,154,154,353, ,Maint Backyard 2,BPD Cameras,-76.63066461,39.24800899, , , , 
-8530528.8137,4757252.0858,155,155,355, ,Maint. Garage Doors,BPD Cameras,-76.63104414,39.24795914, , , , 
-8530378.3282,4757329.26930001,156,156,354, ,Back of Comm. Ctr.,BPD Cameras,-76.62969231,39.24849608, , , , 
-8530470.5902,4757274.0316,157,157,356, ,Back of Comm. Ctr. 2,BPD Cameras,-76.63052111,39.24811181, , , , 
-8529854.4235,4756830.75310001,158,158,328, ,Behind 911 Coppin Court,BPD Cameras,-76.62498599,39.245028, , , , 
-8530169.7136,4756673.9772,159,159,325, ,Rear of 2917 S Denham Cir.,BPD Cameras,-76.62781829,39.2439373, , , , 
-8529931.4567,4756516.11010001,160,160,335, ,3430 Spelman Rd,BPD Cameras,-76.625678,39.242839, , , , 
-8529887.4855,4756485.35050001,161,161,336, ,3456 Spelman Rd,BPD Cameras,-76.625283,39.24262499, , , , 
-8529911.9757,4756427.8565,162,162,337, ,3446 Spelman Rd(Parking Lot),BPD Cameras,-76.62550299,39.242225, , , , 
-8529739.661,4756468.1583,163,163,338, ,Spellman Rd. LLC#7076,BPD Cameras,-76.62395507,39.24250538, , , , 
-8529746.8687,4756401.90710001,164,164,339, ,3486 Spelman Rd.,BPD Cameras,-76.62401981,39.24204446, , , , 
-8529811.0889,4756676.0173,165,165,332, ,3401 Round Rd.,BPD Cameras,-76.62459671,39.24395149, , , , 
-8529722.5844,4756701.6982,166,166,331, ,Rear of 3411 Round Rd.,BPD Cameras,-76.62380166,39.24413016, , , , 
-8529608.2961,4756582.3726,167,167,341, ,Seagull Ave. LLC#7076,BPD Cameras,-76.62277499,39.2433, , , , 
-8529554.8388,4756526.979,168,168,340, ,Seagull Ave. behind UMBC,BPD Cameras,-76.62229478,39.24291461, , , , 
-8529396.9005,4756863.6697,169,169,344, ,Seagull Ave - Bethune Rd,BPD Cameras,-76.62087599,39.24525699, , , , 
-8529428.6266,4756795.5367,170,170,343, ,835 Seagull Ave.,BPD Cameras,-76.621161,39.24478299, , , , 
-8529387.9313,4756755.0958,171,171,342, ,Behind 835 Seagull Ave,BPD Cameras,-76.62079542,39.24450165, , , , 
-8529725.293,4756835.4965,172,172,330, ,Bethune Rd - Bunche Rd,BPD Cameras,-76.623826,39.24506099, , , , 
-8529782.8451,4756885.80590001,173,173,329, ,Coppin Ct - Bunche Rd .,BPD Cameras,-76.62434299,39.24541099, , , , 
-8529995.7993,4757234.3845,174,174,348, ,2627 Carver Rd,BPD Cameras,-76.62625599,39.24783599, , , , 
-8529900.5098,4757087.33320001,175,175,346, ,Carver Rd - Bridgeview Rd,BPD Cameras,-76.62539999,39.246813, , , , 
-8529926.7813,4757230.0721,176,176,347, ,Rear of 2805 Carver Rd.,BPD Cameras,-76.625636,39.24780599, , , , 
-8529947.4866,4757350.2447,177,177,349, ,2609 Carver Rd.,BPD Cameras,-76.62582199,39.24864199, , , , 
-8529891.8269,4757322.6452,178,178,350, ,2615 Carver Rd. (in circle),BPD Cameras,-76.625322,39.24845, , , , 
-8530314.8675,4756886.7562,179,179,320, ,Side of 2810 Denham Cr.,BPD Cameras,-76.62912223,39.24541761, , , , 
-8529820.7262,4757023.07340001,180,180,345, ,Carver Rd. Front of School,BPD Cameras,-76.62468329,39.24636595, , , , 
-8530055.4666,4756500.1553,181,181,334, ,Back Circle 1019 Bethune Rd.,BPD Cameras,-76.62679199,39.24272799, , , , 
-8522153.7864,4762872.82790001,182,182,402, ,Eastern Ave - Oldham St,BPD Cameras,-76.55580999,39.28705, , , , 
-8522403.476,4762886.05990001,183,183,403, ,Eastern Ave - S Lehigh St,BPD Cameras,-76.55805299,39.28714199, , , , 
-8522240.8383,4762870.52660001,184,184,404, ,Eastern Ave - S Newkirk St,BPD Cameras,-76.55659199,39.28703399, , , , 
-8528126.51,4767346.433,185,185,509, ,Greenmount Ave - E 25th St,BPD Cameras,-76.60946388,39.31814722, , , , 
-8528427.691,4767334.0424,186,186,508, ,Falls St Alley - E 25th St,BPD Cameras,-76.61216944,39.31806111, , , , 
-8528049.2048,4767122.2059,187,187,510, ,Boone St - E 24th St,BPD Cameras,-76.60876944,39.31658888, , , , 
-8528233.8097,4767074.6432,188,188,512, ,Brentwood Ave - E 24th St,BPD Cameras,-76.61042777,39.31625833, , , , 
-8528537.4646,4767912.4188,189,189,501, ,Guilford Ave - E 28th St,BPD Cameras,-76.61315555,39.32208055, , , , 
-8527901.7065,4767042.6684,190,190,511, ,Cokesbury Ave - E 23rd St,BPD Cameras,-76.60744444,39.31603611, , , , 
-8528133.313,4766964.3307,191,191,513, ,Greenmount Ave - E 23rd St,BPD Cameras,-76.609525,39.31549166, , , , 
-8527986.1238,4766956.7367,192,192,515, ,23rd ST. - Boone,BPD Cameras,-76.60820277,39.31543888, , , , 
-8528488.6077,4766954.7383,193,193,514, ,Guilford Ave - E 23rd St,BPD Cameras,-76.61271666,39.31542499, , , , 
-8528136.7143,4766822.8445,194,194,516, ,Greenmount Ave - E 22nd St,BPD Cameras,-76.60955555,39.31450833, , , , 
-8527888.1008,4766840.0307,195,195,517, ,Homewood Ave - E 22nd St,BPD Cameras,-76.60732222,39.31462777, , , , 
-8528013.9537,4766683.35890001,196,196,520, ,Boone St - E 21st St,BPD Cameras,-76.60845277,39.31353888, , , , 
-8528134.5498,4766567.85480001,197,197,521, ,Greenmount Ave - Worsley St,BPD Cameras,-76.60953611,39.31273611, , , , 
-8528303.3844,4766524.2914,198,198,522, ,Barclay St - E 20th St,BPD Cameras,-76.61105277,39.31243333, , , , 
-8528134.2406,4767614.6328,199,199,506, ,Greenmount Ave - E Lorraine Ave,BPD Cameras,-76.60953333,39.32001111, , , , 
-8528300.9106,4766464.3421,200,200,523, ,Barclay St - Heaver St,BPD Cameras,-76.61103055,39.31201666, , , , 
-8528387.4924,4766362.0294,201,201,525, ,E North Ave - Guilford Ave,BPD Cameras,-76.61180833,39.31130555, , , , 
-8528131.45749999,4767922.4118,202,202,502, ,Greenmount Ave - E 28th St,BPD Cameras,-76.60950833,39.32215, , , , 
-8528590.3413,4766257.3198,203,203,526, ,N Calvert St - McAllister St,BPD Cameras,-76.61363055,39.31057777, , , , 
-8528285.4496,4766178.98800001,204,204,528, ,Barclay St - E Lafayette Ave,BPD Cameras,-76.61089166,39.31003333, , , , 
-8528451.1919,4766187.3807,205,205,527, ,Guilford Ave - E Lafayette Ave,BPD Cameras,-76.61238055,39.31009166, , , , 
-8528514.8914,4767543.8848,206,206,507, ,Guilford Ave - E 26th St,BPD Cameras,-76.61295277,39.31951944, , , , 
-8528269.6793,4765953.1885,207,207,529, ,Barclay St - Pitman Pl,BPD Cameras,-76.61075,39.30846388, , , , 
-8527985.8145,4765431.6705,208,208,530, ,Greenmount Ave - E Preston St,BPD Cameras,-76.60819999,39.30483888, , , , 
-8527955.8202,4765279.81600001,209,209,531, ,Greenmount Ave - E Biddle St,BPD Cameras,-76.60793055,39.30378333, , , , 
